1	1.5500	-2.2500	0.675	0.250
2	0.7500	-2.3250	0.250	0.575
3	0.2500	-2.3250	0.250	0.575
4	-0.2500	-2.3250	0.250	0.575
5	-0.7500	-2.3250	0.250	0.575
6	-1.5500	-2.2500	0.675	0.250
7	-1.5500	-1.7500	0.675	0.250
8	-1.5500	-1.2500	0.675	0.250
9	-1.5500	-0.7500	0.675	0.250
10	-1.5500	-0.2500	0.675	0.250
11	-1.5500	0.2500	0.675	0.250
12	-1.5500	0.7500	0.675	0.250
13	-1.5500	1.2500	0.675	0.250
14	-1.5500	1.7500	0.675	0.250
15	-1.5500	2.2500	0.675	0.250
16	-0.7500	2.3250	0.250	0.575
17	-0.2500	2.3250	0.250	0.575
18	0.2500	2.3250	0.250	0.575
19	0.7500	2.3250	0.250	0.575
20	1.5500	2.2500	0.675	0.250
21	1.5500	1.7500	0.675	0.250
22	1.5500	1.2500	0.675	0.250
23	1.5500	0.7500	0.675	0.250
24	1.5500	0.2500	0.675	0.250
25	1.5500	-0.2500	0.675	0.250
26	1.5500	-0.7500	0.675	0.250
27	1.5500	-1.2500	0.675	0.250
28	1.5500	-1.7500	0.675	0.250
